u: 9, humuhumunukunukuapuaa
s: 8, possessionlessness
e: 7, electrotelethermometer
a: 6, astragalocalcaneal
c: 6, micrococcocci
i: 6, divisibilities
n: 6, nonannouncement
o: 6, choledochoduodenostomy
r: 6, preinferredpreinferring
t: 6, tittle-tattle
d: 5, disdodecahedroid
l: 5, allochlorophyll
b: 4, beblubber
f: 4, affusedaffusing
g: 4, aggregating
h: 4, choledochorrhaphy
k: 4, akiskemikinik
m: 4, dynamometamorphism
p: 4, aplopappus
v: 4, coevolvedcoevolves
w: 4, wowwows
x: 4, xxxx
y: 4, dacryocystosyringotomy
j: 2, ajaja
q: 2, albuquerque
